0,0 0,b,69,1,0b,0,1e,02,a,8,1,7 / 0,0aa,5,0,0,1,2
0,1 6,8,5e,2,12,1,01,1a,9,9,0,3 / 0,0d4,1,7,0,3,1
0,2 4,7,54,2,0d,0,1e,1e,0,f,1,6 / 0,0ac,0,5,2,3,2
0,4 6,d,76,3,06,0,17,03,9,5,1,0 / 0,0f2,2,4,2,2,3
0,5 7,7,5a,3,1b,0,0a,1b,b,1,1,4 / 0,01b,3,3,1,1,5
0,6 5,6,2e,2,14,0,1c,1a,e,b,1,3 / 0,010,7,7,3,3,5
1,0 7,9,63,2,14,1,0b,0a,f,1,0,4 / 0,0aa,5,0,0,1,2
1,1 4,3,33,1,11,1,16,1a,b,3,0,5 / 0,0d4,1,7,0,3,1
1,2 6,1,1f,0,0e,1,0f,1b,0,5,0,4 / 0,0ac,0,5,2,3,2
1,4 2,f,49,0,02,0,18,09,e,f,0,3 / 0,0f2,2,4,2,2,3
1,5 4,a,1a,2,14,1,1c,11,f,7,1,2 / 0,01b,3,3,1,1,5
1,6 3,c,66,1,01,1,0a,06,0,0,0,5 / 0,010,7,7,3,3,5
2,0 2,9,32,1,01,0,0c,05,e,9,1,6 / 0,0aa,5,0,0,1,2
2,1 7,d,0d,0,1d,0,10,1c,a,1,1,3 / 0,0d4,1,7,0,3,1
2,2 7,a,37,0,1c,0,1b,1c,3,a,1,1 / 0,0ac,0,5,2,3,2
2,4 6,b,31,3,07,1,1b,14,e,5,0,3 / 0,0f2,2,4,2,2,3
2,5 4,2,58,2,10,1,12,15,c,a,1,3 / 0,01b,3,3,1,1,5
2,6 7,b,23,1,09,0,0f,18,0,b,0,0 / 0,010,7,7,3,3,5
3,0 4,3,5a,3,1e,1,1c,1e,c,b,0,4 / 0,0aa,5,0,0,1,2
3,1 5,6,25,0,01,0,14,01,d,0,0,4 / 0,0d4,1,7,0,3,1
3,2 7,c,5d,2,01,1,0c,09,4,8,0,1 / 0,0ac,0,5,2,3,2
3,4 1,2,05,1,01,0,18,19,4,7,1,6 / 0,0f2,2,4,2,2,3
3,5 6,4,17,3,1c,0,1b,1c,6,4,1,1 / 0,01b,3,3,1,1,5
3,6 6,8,58,3,07,1,1c,1b,b,d,1,4 / 0,010,7,7,3,3,5
